date,ticker,open,high,low,close,volume,turnover,return_1d,return_5d,volatility_20d,turnover_20d,pe,pb,roe,industry_name,label_next_5d,source_price_available,source_volume_available,source_fundamental_available,source_industry_available,announce_date
2024-01-02,000001,117.5295,120.2268,115.939,117.2236,2049614.0,155015864.72,,,,155015864.72,,,,银行,-0.052260807550698,True,True,False,True,
2024-01-03,000001,115.0314,116.9612,112.3885,114.7854,5420631.0,111429869.74,-0.0207995659577082,,,133222867.23,,,,银行,-0.0296544682511886,True,True,False,True,
2024-01-04,000001,114.3217,118.0346,111.628,116.5082,3958351.0,322634392.77,0.015008877435632,,0.0253203931471655,196360042.41,,,,银行,-0.0500496960728944,True,True,False,True,
2024-01-05,000001,118.2656,121.7389,115.5476,118.6999,2443349.0,36086491.46,0.0188115514616138,,0.0218546164887011,156291654.67249998,,,,银行,-0.0679031743076448,True,True,False,True,
2024-01-08,000001,112.0528,115.031,109.6782,114.0681,8522360.0,195650663.98,-0.0390210943732892,,0.02807968192921,164163456.53399998,,,,银行,-0.0466028626758927,True,True,False,True,
2024-01-09,000001,111.8169,113.6855,110.3771,111.0974,9321473.0,314200831.43,-0.0260432145358782,-0.052260807550698,0.0258406346191032,189169685.6833333,,,,银行,-0.0038929803937804,True,True,False,True,
2024-01-10,000001,112.1136,113.4804,110.7601,111.3815,7536251.0,143607095.44,0.0025572155604003,-0.0296544682511886,0.0237109643912707,182660744.22,,,,银行,0.0090221446110887,True,True,False,True,
2024-01-11,000001,109.2027,110.7524,106.2216,110.677,7676680.0,1040499697.85,-0.0063251078500469,-0.0500496960728944,0.0216572446985185,289890613.42375,,,,银行,0.0167857820504711,True,True,False,True,
2024-01-12,000001,,113.1706,107.8559,110.6398,9294568.0,138954017.28,-0.00033611319425,-0.0679031743076448,0.0202316933775994,273119880.5188889,,,,银行,0.0400588215090773,True,True,False,True,
2024-01-15,000001,108.7567,109.2536,107.7614,108.7522,7284439.0,767181263.71,-0.0170607683672602,-0.0466028626758927,0.0192187833162521,322526018.838,,,,银行,0.0680041415254129,True,True,False,True,
2024-01-16,000001,110.4266,111.9299,108.1127,110.6649,8475073.0,973071165.7,0.0175876901800606,-0.0038929803937804,0.0198616025088242,381666486.7345455,,,,银行,0.0315077319005394,True,True,False,True,
2024-01-17,000001,112.9721,114.1983,109.3103,112.3864,6353122.0,794703699.57,0.0155559712248418,0.0090221446110887,0.0198891362818249,416086254.4708333,,,,银行,0.0231985364777234,True,True,False,True,
2024-01-18,000001,110.8153,115.7822,110.5114,112.5348,8929643.0,803628247.52,0.0013204444665904,0.0167857820504711,0.0190175833397142,445897177.0130769,,,,银行,0.0022526365177706,True,True,False,True,
2024-01-19,000001,115.9911,116.9163,114.9655,115.0719,7211670.0,373255710.9,0.022545026071935,0.0400588215090773,0.019560884045203,440708500.86214286,,,,银行,-0.0026244461071729,True,True,False,True,
2024-01-22,000001,117.4429,119.9687,114.2291,116.1478,9224921.0,,0.0093498065122763,0.0680041415254129,0.0190056501973509,440708500.86214286,,,,银行,-0.0128500066294842,True,True,False,True,
2024-01-23,000001,113.1117,114.4818,112.7812,114.1517,,631605990.93,-0.0171858614627224,0.0315077319005394,0.0188148569929065,453435000.2,,,,银行,0.0006981937194101,True,True,False,True,
2024-01-24,000001,114.7902,115.6917,112.4001,114.9936,1986377.0,135835542.92,0.0073752734300058,0.0231985364777234,0.0183149193388309,433585034.12,,,,银行,-0.0201567739422019,True,True,False,True,
